group_id,village_number,district
15627,313,ostersjon
1013,307,ostersjon
15045,307,ostersjon
15788,307,ostersjon
15797,519,sahara
15912,519,sahara
15599,519,sahara
14880,233,stora_barriarrevet
15590,233,stora_barriarrevet
14768,322,ostersjon
1192,322,ostersjon
1087,308,ostersjon
940,308,ostersjon
15601,308,ostersjon
15582,213,stora_barriarrevet
15078,213,stora_barriarrevet
15729,321,ostersjon
870,321,ostersjon
797,409,himalaya
15645,409,himalaya
